[2026-04-22T23:30:48.020Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.074Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.124Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.177Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.243Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.293Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.342Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.382Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.434Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.480Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.528Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:48.622Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.240Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.289Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.332Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.452Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.512Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.558Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.608Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.654Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.699Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.745Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.822Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:49.865Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:50.567Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:50.613Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:50.662Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:50.702Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:50.777Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:50.832Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:50.874Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:50.960Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:51.008Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:51.048Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:30:57.366Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:30.775Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:30.825Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:30.873Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:30.927Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:30.992Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:31.043Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[2026-04-22T23:31:31.094Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
