ID Sessao,Data,Exercício,Tipo de Série,# Serie,Carga (kg),Repetições,RIR,RPE,Volume (Tonelagem),Observações
,2026-04-07,Lying Leg Curl,Feeder Set,1,30,12,1,9,360,
,2026-04-07,Lying Leg Curl,Working Set,2,40,13,1,9,520,
,2026-04-07,Lying Leg Curl,Working Set,3,45,12,1,9,540,
,2026-04-07,Leg Extension,Feeder Set,1,40,14,1,9,560,
,2026-04-07,Leg Extension,Working Set,2,50,12,1,9,600,
,2026-04-07,Leg Extension,Working Set,3,50,10,1,9,500,
,2026-04-07,Leg Extension,Working Set,4,50,10,1,9,500,
,2026-04-07,Leg Press,Feeder Set,1,50,15,1,9,750,
,2026-04-07,Leg Press,Working Set,2,90,14,1,9,1260,
,2026-04-07,Leg Press,Working Set,3,90,13,1,9,1170,
,2026-04-07,Seated Calf Raise,Working Set,1,35,15,1,9,525,
,2026-04-07,Seated Calf Raise,Working Set,2,35,14,1,9,490,
,2026-04-07,Seated Calf Raise,Working Set,3,35,13,1,9,455,
,2026-04-07,Adductor Machine,Feeder Set,1,35,15,1,9,525,
,2026-04-07,Adductor Machine,Working Set,2,45,12,1,9,540,
,2026-04-07,Adductor Machine,Working Set,3,45,10,1,9,450,
,2026-04-10,Lat Pulldown,Working Set,1,50,10,1,9,500,
,2026-04-10,Lat Pulldown,Working Set,2,50,10,1,9,500,
,2026-04-10,Lat Pulldown,Working Set,3,50,10,1,9,500,
,2026-04-10,Neutral Grip Machine Row,Working Set,1,30,8,1,9,240,
,2026-04-10,Neutral Grip Machine Row,Working Set,2,30,9,1,9,270,
,2026-04-10,Neutral Grip Machine Row,Working Set,3,30,9,1,9,270,
,2026-04-10,Seated Row,Working Set,1,45,11,1,9,495,
,2026-04-10,Seated Row,Working Set,2,50,9,1,9,450,
,2026-04-10,Seated Row,Working Set,3,50,7,1,9,350,
,2026-04-10,Hammer Curl,Working Set,1,35,10,1,9,350,
,2026-04-10,Hammer Curl,Working Set,2,35,8,1,9,280,
,2026-04-10,Hammer Curl,Working Set,3,35,8,1,9,280,
,2026-04-10,Cable Curl,Working Set,1,30,10,1,9,300,
,2026-04-10,Cable Curl,Working Set,2,30,10,1,9,300,
,2026-04-10,Cable Curl,Working Set,3,30,9,1,9,270,
,2026-04-11,Pec Fly,Working Set,1,30,10,1,9,300,
,2026-04-11,Pec Fly,Working Set,2,30,10,1,9,300,
,2026-04-11,Pec Fly,Working Set,3,30,10,1,9,300,
,2026-04-11,Pec Fly,Working Set,4,30,10,1,9,300,
,2026-04-11,Bench Press,Working Set,1,50,10,1,9,500,2min rest
,2026-04-11,Bench Press,Working Set,2,50,10,1,9,500,2min rest
,2026-04-11,Bench Press,Working Set,3,50,10,1,9,500,2min rest
,2026-04-11,Low Cable Fly,Working Set,1,14,10,1,9,140,
,2026-04-11,Low Cable Fly,Working Set,2,14,7,1,9,98,
,2026-04-11,Low Cable Fly,Working Set,3,14,7,1,9,98,
,2026-04-11,Low Cable Fly,Working Set,4,14,6,1,9,84,
,2026-04-11,Triceps Pushdown,Working Set,1,27,13,1,9,351,
,2026-04-11,Triceps Pushdown,Working Set,2,27,12,1,9,324,
,2026-04-11,Triceps Pushdown,Working Set,3,27,10,1,9,270,
,2026-04-11,French Press,Working Set,1,23,10,1,9,230,
,2026-04-11,French Press,Working Set,2,23,8,1,9,184,
,2026-04-11,French Press,Working Set,3,23,8,1,9,184,
,2026-04-13,Hack Squat,Feeder Set,1,30,20,1,9,600,
,2026-04-13,Hack Squat,Working Set,2,50,20,3,7,1000,
,2026-04-13,Hack Squat,Working Set,3,70,20,2,8,1400,
,2026-04-13,Hack Squat,Working Set,4,70,20,1,9,1400,
,2026-04-13,Leg Press,Feeder Set,1,90,20,3,7,1800,2min rest
,2026-04-13,Leg Press,Working Set,2,120,15,2,8,1800,2min rest
,2026-04-13,Leg Press,Working Set,3,140,10,1,9,1400,2min rest
,2026-04-13,Seated Calf Raise,Working Set,1,35,15,2,8,525,
,2026-04-13,Seated Calf Raise,Working Set,2,45,13,1,9,585,
,2026-04-13,Seated Calf Raise,Working Set,3,40,14,1,9,560,
,2026-04-13,Adductor Machine,Working Set,1,40,15,1,9,600,
,2026-04-13,Adductor Machine,Working Set,2,40,12,0,10,480,
,2026-04-13,Adductor Machine,Working Set,3,40,8,0,10,320,
,2026-04-13,Lat Pulldown,Feeder Set,1,35,20,1,9,700,"musculo ainda doendo do último treino, 3 dias antes"
,2026-04-13,Lat Pulldown,Working Set,2,52,12,3,7,624,"musculo ainda doendo do último treino, 3 dias antes"
,2026-04-13,Lat Pulldown,Working Set,3,59,8,1,9,472,"musculo ainda doendo do último treino, 3 dias antes"
,2026-04-13,Face Pull,Working Set,1,18,18,3,7,324,
,2026-04-13,Face Pull,Working Set,2,23,15,1,9,345,
,2026-04-13,Cable Curl,Working Set,1,23,20,2,8,460,
,2026-04-13,Cable Curl,Working Set,2,32,12,1,9,384,
,2026-04-13,Cable Curl,Working Set,3,45,8,0,10,360,
,2026-04-15,Face Pull,Working Set,1,18,12,0,10,216,
,2026-04-15,Face Pull,Working Set,2,18,10,0,10,180,
,2026-04-15,Face Pull,Working Set,3,18,10,0,10,180,
,2026-04-15,Dumbbell Floor Press,Working Set,1,40,10,1,9,400,
,2026-04-15,Dumbbell Floor Press,Working Set,2,40,10,1,9,400,
,2026-04-15,Dumbbell Floor Press,Working Set,3,40,10,1,9,400,
,2026-04-15,Seated Row,Feeder Set,1,50,15,3,7,750,
,2026-04-15,Seated Row,Working Set,2,70,13,2,8,910,
,2026-04-15,Seated Row,Working Set,3,70,10,1,9,700,
,2026-04-15,Seated Row,Top Set,4,70,9,0,10,630,
,2026-04-15,Triceps Pushdown,Feeder Set,1,25,15,3,7,375,
,2026-04-15,Triceps Pushdown,Working Set,2,30,10,1,9,300,
,2026-04-15,Triceps Pushdown,Top Set,3,30,9,0,10,270,
,2026-04-15,Hammer Curl,Feeder Set,1,20,10,3,7,200,
,2026-04-15,Hammer Curl,Working Set,2,25,11,1,9,275,
,2026-04-15,Hammer Curl,Top Set,3,25,12,0,10,300,
,2026-04-16,One-arm Row,Working Set,1,25,12,1,9,300,
,2026-04-16,One-arm Row,Working Set,2,25,10,1,9,250,
,2026-04-16,One-arm Row,Working Set,3,25,10,1,9,250,
,2026-04-16,Seated Row,Working Set,1,40,15,3,7,600,
,2026-04-16,Seated Row,Working Set,2,60,9,1,9,540,
,2026-04-16,Seated Row,Working Set,3,60,8,0,10,480,
,2026-04-16,Seated Row,Working Set,4,60,8,0,10,480,
,2026-04-16,Rear Delt Fly,Working Set,1,15,10,3,7,150,
,2026-04-16,Rear Delt Fly,Working Set,2,17.5,10,1,9,175,
,2026-04-16,Rear Delt Fly,Working Set,3,17.5,9,0,10,157.5,
,2026-04-16,Cable Curl,Working Set,1,27,15,3,7,405,
,2026-04-16,Cable Curl,Working Set,2,32,11,1,9,352,
,2026-04-16,Cable Curl,Working Set,3,32,8,1,9,256,
,2026-04-16,Cable Curl,Working Set,4,32,9,0,10,288,
,2026-04-16,Pec Fly,Working Set,1,17.5,15,3,7,262.5,
,2026-04-16,Pec Fly,Working Set,2,22.5,13,1,9,292.5,
,2026-04-16,Pec Fly,Working Set,3,22.5,12,0,10,270,
,2026-04-16,Machine Crunch,Working Set,1,25,10,1,9,250,
,2026-04-16,Machine Crunch,Working Set,2,25,9,0,10,225,
,2026-04-16,Machine Crunch,Working Set,3,25,8,0,10,200,
,2026-04-18,Seated Calf Raise,Working Set,1,40,13,3,7,520,
,2026-04-18,Seated Calf Raise,Working Set,2,50,12,2,8,600,
,2026-04-18,Seated Calf Raise,Working Set,3,50,15,1,9,750,
,2026-04-18,Hack Squat,Working Set,1,50,10,2,8,500,
,2026-04-18,Hack Squat,Working Set,2,50,7,1,9,350,
,2026-04-18,Hack Squat,Working Set,3,50,9,0,10,450,
,2026-04-18,Leg Press,Working Set,1,100,7,4,6,700,
,2026-04-18,Leg Press,Working Set,2,130,10,2,8,1300,
,2026-04-18,Leg Press,Working Set,3,150,9,1,9,1350,
,2026-04-18,Leg Press,Working Set,4,150,8,0,10,1200,
,2026-04-18,Leg Extension,Working Set,1,50,15,2,8,750,
,2026-04-18,Leg Extension,Working Set,2,50,15,1,9,750,
,2026-04-18,Leg Extension,Working Set,3,50,13,1,9,650,
,2026-04-18,Lying Leg Curl,Working Set,1,45,15,1,9,675,ainda estava sentindo dores na posterior do último treino
,2026-04-20,Bench Press,Warming Up,1,20,15,3,7,300,
,2026-04-20,Bench Press,Feeder Set,2,40,10,2,8,400,
,2026-04-20,Bench Press,Top Set,3,50,7,0,10,350,
,2026-04-20,Bench Press,Back-off Set,4,40,10,0,10,400,
,2026-04-20,Seated Row,Warming Up,1,39,10,3,7,390,
,2026-04-20,Seated Row,Feeder Set,2,59,10,2,8,590,
,2026-04-20,Seated Row,Working Set,3,59,9,1,9,531,
,2026-04-20,Seated Row,Top Set,4,59,8,0,10,472,
,2026-04-20,Triceps Pushdown,Feeder Set,1,25,10,2,8,250,
,2026-04-20,Triceps Pushdown,Working Set,2,25,10,1,9,250,
,2026-04-20,Triceps Pushdown,Top Set,3,25,10,0,10,250,
,2026-04-20,Face Pull,Feeder Set,1,22.5,10,2,8,225,
,2026-04-20,Face Pull,Working Set,2,25,10,2,8,250,
,2026-04-20,Hammer Curl,Feeder Set,1,27.5,10,2,8,275,
,2026-04-20,Hammer Curl,Working Set,2,32.5,10,1,9,325,
,2026-04-20,Hammer Curl,Working Set,3,32.5,11,1,9,357.5,
